Idx,Prompt,True,Std
47,Dystrybuanta rozkładu singularnego (np. funkcja Cantora) jest funkcją schodkową ...,0,0.45226701686664544
50,Metoda Newtona dla pierwiastków jednokrotnych charakteryzuje się zazwyczaj zbież...,0,0.45226701686664544
11,Macierz kowariancji wektora losowego jest zawsze symetryczna i nieujemnie określ...,1,0.45226701686664544
10,"Brak korelacji między zmiennymi losowymi zawsze implikuje ich niezależność. 
Zac...",0,0.45226701686664544
0,"Przecięcie dowolnej, nawet nieprzeliczalnej rodziny sigma-ciał jest zawsze sigma...",1,0.45226701686664544
1,Skończona addytywność prawdopodobieństwa jest warunkiem silniejszym niż przelicz...,0,0.45226701686664544
40,Zbieżność z prawdopodobieństwem 1 nie gwarantuje zbieżności według prawdopodobie...,0,0.45226701686664544
26,Metoda Eulera rozwiązywania równań różniczkowych jest metodą o wolnej zbieżności...,1,0.45226701686664544
18,"Warunkowa wartość oczekiwana E[X|Y] jest liczbą rzeczywistą, a nie zmienną losow...",0,0.45226701686664544
25,Błąd obcięcia jest tożsamy z błędem zaokrąglenia i wynika wyłącznie z reprezenta...,0,0.45226701686664544
34,Metoda Rungego-Kutty wykorzystuje średnią ważoną wartości funkcji w kilku punkta...,1,0.45226701686664544
39,Błędy danych wejściowych i błędy zaokrągleń nie mają żadnego wpływu na wynik koń...,0,0.45226701686664544
30,Aproksymacja średniokwadratowa ma na celu minimalizację błędu zdefiniowanego w s...,1,0.45226701686664544
51,Eliminacja Gaussa pozwala rozwiązać układ równań liniowych ze złożonością oblicz...,0,0.38924947208076155
35,Norma macierzowa spektralna jest zdefiniowana jako suma modułów wszystkich eleme...,0,0.38924947208076155
29,"Metoda Jacobiego jest zbieżna dla dowolnej macierzy nieosobliwej, niezależnie od...",0,0.38924947208076155
8,"Wariancja przekształcenia liniowego aX+b wynosi a * Var[X]. 
Zacznij odpowiedź o...",0,0.38924947208076144
23,Wskaźnik uwarunkowania macierzy informuje jedynie o czasie potrzebnym na wykonan...,0,0.38924947208076144
17,"Centralne Twierdzenie Graniczne orzeka, że sumy niezależnych zmiennych losowych ...",1,0.38924947208076144
24,Rozkład LU polega na przedstawieniu macierzy w postaci iloczynu macierzy dolnotr...,1,0.38924947208076144
7,"Jeśli funkcja g jest wypukła, to nierówność Jensena orzeka, że g(E[X]) <= E[g(X)...",1,0.28867513459481287
33,"Równania sztywne to typ równań różniczkowych, które można bez problemu rozwiązyw...",0,0.28867513459481287
48,"Niezależność zmiennych losowych nie gwarantuje, że ich kowariancja wynosi 0. 
Za...",0,0.28867513459481287
44,"Dla funkcji wypukłej g nierówność Jensena przyjmuje postać g(E[X]) >= E[g(X)]. 
...",0,0.28867513459481287
56,"Algorytm numerycznie stabilny to taki, w którym błędy zaokrągleń rosną wykładnic...",0,0.28867513459481287
31,"Metoda bisekcji zbiega znacznie szybciej niż metoda Newtona, osiągając zazwyczaj...",0,0.0
